股票代码,股票名称,当前价,涨跌幅,市值,市盈率
JMIA,Jumia Technologie,25.46,75.59,1943797573.0,-10.099
TRNX,Taronis Technologies,0.99,47.46,9213065.0,-0.472
HSGX,Histogenics,0.2278,33.53,21549789.0,-2.493
RBZ,Draper Oakwood,11.49,32.99,31023000.0,-193.947
APC,阿纳达科石油,61.78,32.01,31009841091.0,50.423
SPI,阳光动力,4.49,22.01,3260041.0,-0.04
FLKS,Flex制药,0.55,21.87,9938212.0,-0.453
PCG,太平洋煤气电力,23.08,20.65,12176117781.0,-1.777
FCRE,FC Global Realty,0.54,20.0,6646427.0,
BHVN,生物医药控股,58.24,19.96,2577857202.0,-10.7
ENLV,Enlivex医疗,9.93,19.35,4169528.0,-0.701
WISA,Summit无线技术,2.2887,19.2,35452364.0,-0.526
VIVE,Viveve Medical,0.69,19.17,31991553.0,-0.64
KTOV,Kitov Pharma,1.3,18.18,25269186.0,-4.859
APHB,Ampliphi生物科学,0.346,18.05,11173727.0,-0.923
RENN,人人,1.77,18.0,122121635.0,2.941
IMRN,Immuron,7.0,16.67,25062744.0,-11.616
VRML,Vermillion,1.33,15.65,100458555.0,-8.835
CTRM,Castor Maritime,5.75,13.86,13800000.0,14.068
ADNT,Adient,20.73,13.65,1938925595.0,-1.305
VERBW,VERB TECHNOLOGY COMPANY INC C/WTS 13/03/2024 (TO PUR COM),0.7721,13.56,,
BSMX,桑坦德银行-墨西哥,8.43,12.4,11417330628.0,11.011
CUR,Neuralstem,0.4246,12.24,7729868.0,-1.57
PIXY,Shiftpixy,1.2,12.15,37282417.0,-2.444
RMED,Ra Medical Systems,3.9,11.75,49488079.0,-1.605
PE,Parsley Energy,20.29,11.73,6426051642.0,17.409
DIS,迪士尼,130.06,11.54,193890425796.0,17.686
PXD,先锋自然资源,168.32,11.53,28359608630.0,28.998
RVEN,Reven Housing Reit,3.89,11.14,42894828.0,-13.598
QD,趣店,5.71,10.87,1877403816.0,5.057
FSNN,Fusion国际电讯,0.2869,10.35,23558211.0,-0.514
ZOM,Zomedica,0.3471,10.02,35099419.0,-2.108
TUFN,Tufin软件科技,21.0,9.95,681166521.0,-159.823
DISCB,探索传播B,34.6041,9.85,18160779394.0,30.574
RUHN,如涵控股,6.87,9.74,568248828.0,-35.314
CCUR,CCUR Holdings,3.38,9.39,33439111.0,
ROSE,Rosehill Resources,3.91,9.22,170350207.0,6.389
EPE,EP能源,0.3684,9.19,94484828.0,-0.094
CXO,康休,113.89,8.75,22845936866.0,9.994
MHLD,梅登控股,0.8335,8.61,69145405.0,-0.121
PHAS,PhaseBio制药,14.66,8.51,359146911.0,-15.061
MRUS,Merus,14.72,8.47,343844141.0,-12.519
WES,Western Midstream,34.93,8.41,7647497249.0,20.701
LMFA,Lm Funding America,1.42,8.4,4450652.0,-1.553
ALEC,Alector,26.42,8.28,1819576232.0,-34.826
BKEP,Blueknight,1.2,8.11,48857828.0,-0.733
CPE,卡隆石油,8.21,8.03,1870860548.0,6.384
NM,Navios海事控股,4.59,8.0,57375000.0,-0.393
MTDR,Matador能源,20.95,7.88,2438335241.0,8.892
CNTF,泰克飞石,1.1644,7.81,12327164.0,-0.106
VTL,生命治疗,0.83,7.78,35166846.0,-0.961
GH,Guardant Health,77.54,7.56,6662872085.0,-78.329
CETXP,Cemtrex优先,2.1485,7.43,21623329.0,0.0
WKHS,Workhorse集团,0.6569,7.41,40397373.0,-1.084
DVN,戴文能源,33.48,7.38,14674284000.0,4.789
YUMA,Yuma Energy,0.1955,7.36,4528399.0,-0.291
EYES,Second Sight医疗产品,1.11,7.25,137859737.0,-3.928
EIX,爱迪生国际,67.13,7.24,21871706259.0,47.341
SLGG,Super League Gaming,6.99,7.21,58282760.0,-2.826
GRVY,GRAVITY Co,63.06,7.14,438197634.0,22.779
KOOL,热动力医疗,0.3121,7.14,6912749.0,-0.174
VIOT,云米,11.89,7.12,823580659.0,109.338
LEGH,Legacy住房,10.22,7.02,252668406.0,11.745
TORC,resTORbio,7.81,6.99,219112237.0,-5.825
CODA,Coda Octopus Group,13.75,6.92,146733455.0,22.943
NBL,诺贝尔能源,26.87,6.92,12993912506.0,-196.877
FTSV,Forty Seven,18.6,6.9,581657582.0,-8.266
CDEV,百年资源开发,9.63,6.88,2661705662.0,13.315
FNJN,Finjan,3.11,6.87,85823062.0,4.332
FVE,五星高级生活,0.5769,6.85,29332568.0,-0.396
HSDT,Helius Medical,2.03,6.84,52443385.0,-1.832
TLGT,Teligent,1.02,6.8,54922336.0,-1.515
CLDB,Cortland Bancorp,24.0,6.67,104390976.0,11.816
CNBKA,世纪银行,88.11,6.67,490588462.0,13.547
EOG,EOG能源,105.31,6.66,61085914193.0,17.866
WPX,WPX能源,14.31,6.63,6042402408.0,42.255
ROSEU,Rosehill Resources Inc. - Unit,4.05,6.58,52650000.0,0.0
ALQA,Alliqua BioMedical,2.95,6.5,14765372.0,-1.754
UNT,尤尼石油,15.45,6.4,839960834.0,-18.547
FANG,Diamondback能源,106.28,6.37,17470468158.0,20.659
IMTE,综合媒体科技,13.37,6.36,35345079.0,29.09
BAS,基本能源服务,3.38,6.29,90944612.0,-0.629
SECO,寺库,10.18,6.26,511487972.0,22.605
IDSA,美国工业服务,1.36,6.25,11026696.0,-31.595
DOW,陶氏化学(更名DWDP),58.3,6.21,43841600000.0,40.038
I,国际通信卫星,18.63,6.21,2572304200.0,-4.29
SESN,Sesen Bio,1.03,6.16,79779865.0,-2.368
NVMM,Novume Solutions,0.7,6.06,13557333.0,-2.377
SRCI,SRC Energy,6.31,6.05,1534946837.0,5.903
VNE,Veoneer,27.93,5.92,2434903102.0,-8.854
TGB,Taseko矿业,0.6189,5.92,152215187.0,-5.672
MNI,麦克拉奇报业,3.951,5.92,30962355.0,-0.388
SM,圣玛丽石油勘测,18.31,5.9,2055173816.0,4.042
TAIT,Taitron电子配件,3.0971,5.88,17652996.0,12.811
